minor,average rssi(mW),dBm
row5,5.454563e-07,-62.63
row6,3.507375e-05,-44.55
row7,1.577263e-06,-58.02
row8,2.638552e-06,-55.79
time range,11:14:27,11:14:37
row1,1.790078e-08,-77.47
row2,4.658200e-08,-73.32
row3,8.007567e-08,-70.96
row4,9.960615e-08,-70.02
row5,2.643190e-06,-55.78
row6,6.649160e-06,-51.77
row7,1.520373e-06,-58.18
row8,4.022186e-06,-53.96
time range,11:17:00,11:17:10
row1,1.490304e-08,-78.27
row2,1.244608e-08,-79.05
row3,7.492715e-08,-71.25
row4,3.324252e-08,-74.78
row5,3.649750e-07,-64.38
row6,1.312490e-05,-48.82
row7,7.534855e-06,-51.23
row8,1.661061e-06,-57.80
time range,11:17:18,11:17:28
row1,0,-80
row2,1.584893e-08,-78.00
row3,5.215373e-08,-72.83
row4,2.048390e-08,-76.89
row5,3.431856e-07,-64.64
row6,4.871470e-06,-53.12
row7,5.334036e-06,-52.73
row8,1.798745e-06,-57.45
time range,11:17:40,11:17:50
row1,1.858473e-08,-77.31
row2,1.558699e-08,-78.07
row3,9.926585e-08,-70.03
row4,3.446497e-08,-74.63
row5,6.133977e-07,-62.12
row6,5.606159e-06,-52.51
row7,4.940872e-06,-53.06
row8,3.171824e-06,-54.99
time range,11:17:59,11:18:09
row1,0,-80
row2,7.068398e-08,-71.51
row3,4.161362e-08,-73.81
row4,3.574429e-08,-74.47
row5,1.719535e-06,-57.65
row6,3.013462e-06,-55.21
row7,2.488081e-06,-56.04
row8,2.770216e-06,-55.57
time range,11:18:12,11:18:22
row1,0,-80
row2,1.584893e-08,-78.00
row3,3.068930e-08,-75.13
row4,2.218756e-08,-76.54
row5,5.910782e-07,-62.28
row6,1.373269e-06,-58.62
row7,1.807131e-06,-57.43
row8,2.245438e-06,-56.49
time range,11:18:30,11:18:40
row1,0,-80
row2,2.237261e-08,-76.50
row3,6.514007e-08,-71.86
row4,2.202889e-08,-76.57
row5,1.470127e-07,-68.33
row6,1.398626e-05,-48.54
row7,4.320036e-06,-53.65
row8,2.077870e-06,-56.82
time range,11:18:45,11:18:55
row1,1.421909e-08,-78.47
row2,2.390221e-08,-76.22
row3,4.489521e-08,-73.48
row4,2.426807e-08,-76.15
row5,1.444903e-06,-58.40
row6,5.677837e-06,-52.46
row7,7.398713e-06,-51.31
row8,4.028184e-06,-53.95
time range,11:19:00,11:19:10
row1,1.624924e-08,-77.89
row2,1.858473e-08,-77.31
row3,8.383678e-08,-70.77
row4,1.277941e-08,-78.93
row5,3.912614e-07,-64.08
row6,1.889878e-06,-57.24
row7,4.940624e-06,-53.06
row8,3.132503e-06,-55.04
time range,11:19:15,11:19:25
row1,0,-80
row2,2.599015e-08,-75.85
row3,4.358499e-08,-73.61
row4,7.613841e-08,-71.18
row5,7.765709e-07,-61.10
row6,1.257852e-06,-59.00
row7,2.800949e-06,-55.53
row8,3.271966e-06,-54.85
time range,11:19:29,11:19:39
row1,1.584893e-08,-78.00
row2,2.296809e-08,-76.39
row3,4.707734e-08,-73.27
row4,1.324647e-08,-78.78
row5,1.397924e-06,-58.55
row6,1.951253e-06,-57.10
row7,2.483319e-06,-56.05
row8,5.477901e-06,-52.61
time range,11:20:15,11:20:25
row1,1.524502e-08,-78.17
row2,1.569087e-08,-78.04
row3,7.977430e-08,-70.98
row4,4.865673e-08,-73.13
row5,1.120995e-06,-59.50
row6,1.919234e-06,-57.17
row7,1.573628e-06,-58.03
row8,1.579471e-05,-48.01
time range,11:20:32,11:20:42
row1,1.265884e-08,-78.98
row2,0,-80
row3,8.049035e-08,-70.94
row4,2.402355e-08,-76.19
row5,1.002407e-06,-59.99
row6,1.607906e-06,-57.94
row7,8.767428e-07,-60.57
row8,4.265273e-06,-53.70
time range,11:21:49,11:21:59
row1,8.321630e-09,-80.80
row2,1.429540e-08,-78.45
row3,1.036802e-07,-69.84
row4,1.026627e-08,-79.89
row5,5.503751e-07,-62.59
row6,3.846230e-06,-54.15
row7,6.699745e-07,-61.74
